customer_id,name,age,gender,country,email,signup_date
1,John Doe 1,Thirty,female,US,USER1@MAIL.COM,01/01/2025
2,,22,,USA,user2@mail.com,01/01/2025
3, john doe 3 ,250,Male,Nigeria,USER3@MAIL.COM,
4,,250,female,ng,user4@mail.com,01/01/2025
4,JOHN DOE 5,45,M,US,user5mail.com,01/01/2025
6,,22,F,ng,user6mail.com,yesterday
7,,250,male,United States,user7@mail.com,yesterday
8,,35,male,USA,USER8@MAIL.COM,yesterday
9, john doe 9 ,,male,United States,user9mail.com,
10, john doe 10 ,45,F,US,user10mail.com,01/01/2025
11,,Thirty,Female,US,,
12,,35,F,ng,user12@mail.com,01/01/2025
13,JOHN DOE 13,-5,female,USA,USER13@MAIL.COM,yesterday
14,,-5,,US,user14mail.com,01/01/2025
15,,250,female,NIGERIA,,
15,JOHN DOE 16,35,M,Nigeria,,01/01/2025
17,John Doe 17,35,M,ng,,01/01/2025
17,,250,,Nigeria,user18mail.com,01/01/2025
19,,,female,ng,user19mail.com,01/01/2025
20,,35,,USA,user20mail.com,01/01/2025
21,JOHN DOE 21,,Female,US,user21mail.com,01/01/2025
22,,45,,USA,user22@mail.com,yesterday
23, john doe 23 ,22,Female,Nigeria,user23@mail.com,01/01/2025
23,John Doe 24,,M,US,,01/01/2025
25,,,,US,,01/01/2025
26,,Thirty,F,United States,,
27, john doe 27 ,35,male,U.S.A,user27@mail.com,01/01/2025
28,John Doe 28,22,Male,US,user28@mail.com,01/01/2025
29,John Doe 29,250,Female,U.S.A,,01/01/2025
30,,250,,US,,
31,John Doe 31,22,,U.S.A,,
31,John Doe 32,Thirty,male,USA,,yesterday
33, john doe 33 ,35,Female,Nigeria,,01/01/2025
33, john doe 34 ,45,,US,user34@mail.com,
35,John Doe 35,Thirty,Male,USA,USER35@MAIL.COM,01/01/2025
35,,-5,Female,ng,,01/01/2025
37,,22,,U.S.A,,yesterday
37,,Thirty,,US,USER38@MAIL.COM,yesterday
39,John Doe 39,250,Male,NIGERIA,user39mail.com,01/01/2025
40,,-5,M,USA,,01/01/2025
41,John Doe 41,250,male,NIGERIA,USER41@MAIL.COM,
42,,35,Male,Nigeria,user42@mail.com,
43,JOHN DOE 43,35,F,US,user43mail.com,
44,JOHN DOE 44,-5,F,ng,user44@mail.com,01/01/2025
44,,250,male,USA,,01/01/2025
