customer_id,customer_name,age,gender,country,email,product,quantity,price,payment_method,order_date,delivery_date
1,,25,male,Nigeria,USER1@EMAIL.COM,Keyboard,1,-100,Card,15/01/2026,10/01/2026
2,,22,,U.S.A,,Keyboard,2,500,cash,15/01/2026,20/01/2026
3, john doe 3 ,40,F,USA,user3email.com,Laptop,1,120,Transfer,yesterday,invalid-date
3,,25,male,US,user4@email.com,Laptop,0,,cash,,invalid-date
5,John Doe 5,40,Female,ng,USER5@EMAIL.COM,Laptop,0,500,Transfer,15/01/2026,20/01/2026
6,JOHN DOE 6,40,male,Nigeria,user6email.com,,9999,,CARD,15/01/2026,invalid-date
7,JOHN DOE 7,,Male,U.S.A,user7email.com,,5,120,Card,yesterday,
8, john doe 8 ,-5,,US,,,-2,-100,Transfer,15/01/2026,10/01/2026
8,,30,,United States,,Phone,10,120,CARD,15/01/2026,invalid-date
10,,,male,US,USER10@EMAIL.COM,Keyboard,9999,99.99,cash,15/01/2026,20/01/2026
11,JOHN DOE 11,Twenty Eight,,U.S.A,user11email.com,Keyboard,10,50,Card,15/01/2026,invalid-date
12, john doe 12 ,40,Male,Nigeria,USER12@EMAIL.COM,Monitor,3,99.99,Transfer,01-15-26,10/01/2026
13,,22,male,USA,user13@email.com,,2,,Transfer,01-15-26,10/01/2026
13, john doe 14 ,25,Female,NIGERIA,user14email.com,Monitor,3,120,Transfer,yesterday,10/01/2026
15,JOHN DOE 15,-5,Male,Nigeria,USER15@EMAIL.COM,Mouse,9999,150 USD,CARD,15/01/2026,10/01/2026
16,JOHN DOE 16,35,male,Nigeria,user16@email.com,Phone,1,99.99,Cash,15/01/2026,10/01/2026
16,,Twenty Eight,Female,USA,USER17@EMAIL.COM,Laptop,5,120,,,
18,John Doe 18,250,,NIGERIA,user18@email.com,Monitor,0,$200,,yesterday,
18, john doe 19 ,25,female,US,USER19@EMAIL.COM,Phone,5,500,,15/01/2026,
20, john doe 20 ,25,,US,user20@email.com,Keyboard,9999,99.99,CARD,15/01/2026,20/01/2026
21,,250,female,US,,,1,120,,yesterday,20/01/2026
22,,,Male,NIGERIA,USER22@EMAIL.COM,Monitor,9999,120,Card,15/01/2026,invalid-date
23,,22,male,NIGERIA,USER23@EMAIL.COM,,9999,120,CARD,15/01/2026,20/01/2026
24,,250,F,United States,,Phone,2,500,,,20/01/2026
24,JOHN DOE 25,-5,male,USA,user25email.com,Keyboard,5,-100,cash,yesterday,10/01/2026
26,John Doe 26,25,Female,United States,USER26@EMAIL.COM,Monitor,2,500,CARD,,invalid-date
27,JOHN DOE 27,Twenty Eight,male,USA,user27@email.com,,10,50,cash,,invalid-date
28,JOHN DOE 28,30,,United States,user28email.com,,10,-100,Card,,10/01/2026
29,JOHN DOE 29,25,M,NIGERIA,user29email.com,Keyboard,-2,-100,cash,15/01/2026,20/01/2026
30,JOHN DOE 30,250,M,US,,Phone,1,99.99,Card,15/01/2026,10/01/2026
31,JOHN DOE 31,40,,Nigeria,USER31@EMAIL.COM,,0,50,CARD,01-15-26,10/01/2026
32,,35,Female,United States,USER32@EMAIL.COM,Phone,3,120,,yesterday,20/01/2026
32,JOHN DOE 33,25,female,ng,USER33@EMAIL.COM,,-2,50,,yesterday,10/01/2026
34,John Doe 34,35,female,United States,user34email.com,,5,50,cash,15/01/2026,
35,John Doe 35,250,male,Nigeria,USER35@EMAIL.COM,Keyboard,0,50,Cash,15/01/2026,invalid-date
36,,-5,Male,Nigeria,user36email.com,,-2,99.99,cash,yesterday,10/01/2026
37,John Doe 37,35,female,Nigeria,,Monitor,0,$200,,15/01/2026,invalid-date
37,,250,M,Nigeria,USER38@EMAIL.COM,Mouse,0,$200,Cash,01-15-26,10/01/2026
39,,250,,US,,,1,-100,CARD,01-15-26,10/01/2026
40,John Doe 40,,Female,NIGERIA,,Monitor,9999,120,CARD,15/01/2026,invalid-date
41,,35,,NIGERIA,,Mouse,3,50,CARD,15/01/2026,10/01/2026
42,,250,Female,U.S.A,user42@email.com,,9999,$200,,15/01/2026,10/01/2026
42, john doe 43 ,,,NIGERIA,user43@email.com,Mouse,9999,50,cash,,10/01/2026
43,,-5,female,ng,USER44@EMAIL.COM,Phone,9999,$200,,,
45, john doe 45 ,40,female,United States,user45@email.com,Monitor,9999,500,cash,01-15-26,
46,John Doe 46,25,,US,USER46@EMAIL.COM,Monitor,3,120,cash,15/01/2026,
47,,Twenty Eight,,US,,Laptop,-2,50,Cash,15/01/2026,
48,JOHN DOE 48,40,,US,,Laptop,-2,$200,Transfer,,10/01/2026
49,,-5,Male,USA,,,-2,120,Transfer,yesterday,10/01/2026
50, john doe 50 ,30,,United States,,Monitor,9999,120,,15/01/2026,invalid-date
51,,250,Male,United States,,Phone,10,$200,,01-15-26,20/01/2026
52, john doe 52 ,25,M,US,user52@email.com,,1,50,Card,15/01/2026,10/01/2026
53, john doe 53 ,35,female,USA,,Mouse,9999,-100,Card,01-15-26,10/01/2026
54,John Doe 54,40,female,ng,,,-2,$200,cash,15/01/2026,20/01/2026
55,,25,F,USA,user55email.com,,1,,Transfer,,
55, john doe 56 ,Twenty Eight,female,Nigeria,USER56@EMAIL.COM,,2,$200,cash,01-15-26,
57,John Doe 57,Twenty Eight,female,US,user57email.com,Phone,9999,$200,,,invalid-date
58,,Twenty Eight,Female,United States,user58email.com,,-2,,Cash,15/01/2026,
59,John Doe 59,-5,Female,NIGERIA,,Keyboard,10,-100,Transfer,,20/01/2026
60,JOHN DOE 60,,Female,US,user60@email.com,,5,150 USD,CARD,yesterday,
61,JOHN DOE 61,40,,United States,,Monitor,0,150 USD,Cash,,invalid-date
62, john doe 62 ,35,Female,NIGERIA,,Keyboard,2,500,Cash,01-15-26,20/01/2026
63, john doe 63 ,,female,USA,USER63@EMAIL.COM,,10,99.99,cash,15/01/2026,invalid-date
63,John Doe 64,30,Male,Nigeria,USER64@EMAIL.COM,Monitor,10,50,Transfer,15/01/2026,invalid-date
64,John Doe 65,Twenty Eight,male,US,user65email.com,Keyboard,9999,,Card,15/01/2026,20/01/2026
66,John Doe 66,22,,Nigeria,user66@email.com,Mouse,3,120,,,invalid-date
66,JOHN DOE 67,35,Male,Nigeria,,,-2,150 USD,Card,yesterday,invalid-date
68,,35,male,U.S.A,USER68@EMAIL.COM,Laptop,5,-100,Transfer,15/01/2026,10/01/2026
69,,Twenty Eight,male,NIGERIA,user69email.com,Phone,9999,-100,Cash,15/01/2026,10/01/2026
70, john doe 70 ,35,male,USA,USER70@EMAIL.COM,Phone,-2,99.99,,,10/01/2026
70,JOHN DOE 71,40,,US,user71email.com,Laptop,10,150 USD,cash,15/01/2026,
72, john doe 72 ,22,Male,ng,user72@email.com,,-2,,,,invalid-date
73,,40,,NIGERIA,user73email.com,,1,120,Transfer,yesterday,
74, john doe 74 ,25,F,US,user74email.com,,9999,,Transfer,yesterday,invalid-date
75,JOHN DOE 75,40,male,ng,user75email.com,Keyboard,-2,50,,yesterday,20/01/2026
76,,,,NIGERIA,USER76@EMAIL.COM,Keyboard,1,150 USD,,yesterday,20/01/2026
76,,22,male,USA,user77email.com,,5,-100,cash,,10/01/2026
77,John Doe 78,35,Female,ng,,Laptop,3,-100,Transfer,,20/01/2026
78,,25,Female,US,,Mouse,3,150 USD,CARD,01-15-26,invalid-date
80,,250,female,ng,,Laptop,5,120,Cash,15/01/2026,invalid-date
81,,40,,US,user81email.com,Monitor,9999,120,,yesterday,
82,,35,,US,user82@email.com,,5,$200,,15/01/2026,
82,John Doe 83,30,,USA,user83@email.com,,9999,50,CARD,15/01/2026,invalid-date
83,John Doe 84,250,F,ng,user84email.com,,3,99.99,,yesterday,invalid-date
85, john doe 85 ,,female,U.S.A,,,-2,,Card,yesterday,20/01/2026
86,John Doe 86,250,F,ng,user86email.com,Laptop,2,99.99,Cash,yesterday,10/01/2026
86,,-5,M,U.S.A,,Phone,0,$200,Card,15/01/2026,10/01/2026
87,JOHN DOE 88,250,,United States,USER88@EMAIL.COM,,5,150 USD,Card,,10/01/2026
89,,Twenty Eight,female,US,user89email.com,,10,120,Cash,15/01/2026,
90,,35,female,NIGERIA,,Monitor,-2,150 USD,Card,15/01/2026,10/01/2026
90,JOHN DOE 91,250,Female,Nigeria,,,10,50,Cash,,20/01/2026
92,,35,Male,Nigeria,user92@email.com,Monitor,5,-100,,15/01/2026,20/01/2026
93, john doe 93 ,30,F,Nigeria,USER93@EMAIL.COM,Mouse,2,-100,Cash,01-15-26,
93,John Doe 94,30,M,ng,user94@email.com,Phone,10,150 USD,,01-15-26,invalid-date
95,,250,F,NIGERIA,user95email.com,,0,99.99,,yesterday,20/01/2026
96,,40,F,Nigeria,,Phone,-2,,,15/01/2026,10/01/2026
97,John Doe 97,25,female,US,USER97@EMAIL.COM,Laptop,9999,-100,Card,yesterday,20/01/2026
97,,35,M,US,,,3,$200,Card,yesterday,invalid-date
98,,Twenty Eight,Female,ng,USER99@EMAIL.COM,Monitor,-2,-100,Card,15/01/2026,invalid-date
100,,-5,male,NIGERIA,USER100@EMAIL.COM,Phone,0,50,,yesterday,invalid-date
101,John Doe 101,22,Female,Nigeria,,Phone,1,,,15/01/2026,10/01/2026
102, john doe 102 ,35,female,ng,user102email.com,Phone,0,120,Card,,20/01/2026
103,John Doe 103,22,M,United States,,Laptop,3,50,CARD,01-15-26,10/01/2026
104,,250,Female,Nigeria,user104email.com,Laptop,2,99.99,,yesterday,
104,,,male,US,,,10,150 USD,Transfer,15/01/2026,20/01/2026
106,JOHN DOE 106,25,F,US,user106@email.com,Mouse,2,,cash,,10/01/2026
107,,40,,U.S.A,,Keyboard,9999,$200,Cash,15/01/2026,20/01/2026
108,JOHN DOE 108,Twenty Eight,F,U.S.A,,,-2,$200,Transfer,15/01/2026,invalid-date
109, john doe 109 ,25,Male,Nigeria,user109@email.com,Mouse,2,99.99,cash,15/01/2026,
110,,-5,female,United States,user110@email.com,Laptop,2,$200,cash,01-15-26,
111,,,F,USA,user111@email.com,,5,120,Cash,yesterday,10/01/2026
112,JOHN DOE 112,35,female,United States,user112@email.com,Monitor,-2,50,Card,,invalid-date
113,,30,Female,US,user113@email.com,Keyboard,3,$200,Transfer,15/01/2026,10/01/2026
114,John Doe 114,-5,M,U.S.A,,,3,,cash,01-15-26,invalid-date
114,,22,female,U.S.A,,,2,-100,cash,yesterday,
115,,25,female,USA,,Phone,0,$200,Transfer,15/01/2026,invalid-date
117,JOHN DOE 117,22,F,USA,USER117@EMAIL.COM,Laptop,1,500,Transfer,01-15-26,10/01/2026
118,John Doe 118,250,,ng,,,3,120,Card,yesterday,10/01/2026
118,,250,,NIGERIA,,,1,150 USD,Transfer,15/01/2026,invalid-date
119,JOHN DOE 120,40,male,US,USER120@EMAIL.COM,,2,$200,Card,15/01/2026,invalid-date
121,JOHN DOE 121,35,Female,United States,,,-2,$200,CARD,,20/01/2026
122,John Doe 122,25,M,United States,USER122@EMAIL.COM,Phone,2,500,CARD,01-15-26,invalid-date
122,,30,F,ng,,,2,120,Cash,yesterday,
124,,30,Male,United States,user124email.com,Mouse,9999,99.99,Card,yesterday,
125,John Doe 125,40,male,Nigeria,user125email.com,Mouse,9999,150 USD,cash,15/01/2026,20/01/2026
125,,250,M,USA,user126email.com,Keyboard,9999,50,Card,yesterday,10/01/2026
126,,-5,M,United States,,Monitor,2,120,Cash,15/01/2026,10/01/2026
128,JOHN DOE 128,250,male,Nigeria,user128email.com,,-2,,Transfer,,20/01/2026
129,JOHN DOE 129,40,female,NIGERIA,,,10,120,,01-15-26,20/01/2026
130,,250,male,NIGERIA,user130email.com,,3,99.99,Transfer,01-15-26,
131,JOHN DOE 131,,,U.S.A,USER131@EMAIL.COM,Phone,0,50,CARD,01-15-26,invalid-date
132,,30,,U.S.A,user132email.com,Phone,2,-100,CARD,15/01/2026,20/01/2026
132,,30,female,ng,USER133@EMAIL.COM,,9999,50,,yesterday,invalid-date
134,,Twenty Eight,,US,USER134@EMAIL.COM,,5,500,Cash,01-15-26,
135,,250,F,Nigeria,user135email.com,Laptop,-2,120,,15/01/2026,10/01/2026
135,,,M,ng,user136email.com,Keyboard,2,-100,Card,15/01/2026,10/01/2026
136,,35,F,U.S.A,user137@email.com,Keyboard,9999,,Card,15/01/2026,
138, john doe 138 ,-5,Male,United States,user138email.com,,5,50,Transfer,01-15-26,20/01/2026
